Ad clicked Date,Ad Title/Id
2025/07/29 11:41:31 UTC,744170436
2026/02/04 20:28:31 UTC,969240643
2026/03/24 18:29:28 UTC,1023393856
2026/02/04 22:11:05 UTC,969240643
2026/03/06 18:42:48 UTC,145111864
2026/02/04 22:11:07 UTC,969240643
2025/06/16 18:56:58 UTC,680640444
2026/02/04 20:28:30 UTC,969240643
2025/03/27 23:35:52 UTC,648627786
2026/03/15 13:01:06 UTC,1322890466
2025/07/14 17:05:01 UTC,713980343
2026/03/16 00:29:11 UTC,1228810534
2025/07/14 17:17:56 UTC,713980343
2024/06/20 17:32:48 UTC,452199796
2025/07/14 17:17:58 UTC,713980343
2024/06/20 17:32:59 UTC,452199796
2025/07/14 17:24:19 UTC,713980343
2025/10/22 19:01:45 UTC,839394364
2025/07/14 17:24:19 UTC,713980343
2025/10/22 19:01:46 UTC,839394364
2025/07/14 17:29:40 UTC,713980343
2026/02/14 22:25:11 UTC,1059425076
2025/07/14 17:29:41 UTC,713980343
2026/03/20 19:43:19 UTC,1080398034
2025/07/14 17:30:23 UTC,713980343
2025/09/13 23:44:30 UTC,680985834
2025/07/14 17:04:59 UTC,713980343
2026/03/20 14:42:58 UTC,1370403116
2025/07/14 17:30:24 UTC,713980343
2026/03/20 14:43:54 UTC,1371887086
2024/11/08 04:30:55 UTC,531361713
2026/03/20 14:44:08 UTC,1371887086
2025/07/14 18:25:15 UTC,713980343
2026/03/20 14:44:09 UTC,1371887086
2025/07/14 18:25:15 UTC,713980343
2026/03/20 15:30:45 UTC,1231416834
2025/11/03 16:17:43 UTC,687736306
2026/03/20 15:30:48 UTC,1231416834
2026/02/23 22:49:59 UTC,1341421076
2026/01/17 00:07:47 UTC,1080180654
2025/05/02 18:31:19 UTC,651269226
2026/01/17 00:07:48 UTC,1080180654
2026/02/03 19:19:07 UTC,1051990136
2025/05/23 04:16:49 UTC,664555866
2025/01/08 18:25:38 UTC,564457146
2025/03/10 20:16:50 UTC,590656923
2026/01/04 15:31:04 UTC,841269923
2025/10/29 16:38:03 UTC,931455446
2025/11/20 21:34:50 UTC,919353334
2025/10/29 16:38:04 UTC,931455446
2025/11/20 21:34:52 UTC,919353334
2025/10/29 16:09:27 UTC,931455446
2024/06/27 22:10:48 UTC,425855613
2025/10/29 16:09:26 UTC,931455446
2025/05/15 20:40:29 UTC,599260553
2024/12/30 06:04:37 UTC,543377884
2025/04/04 03:41:44 UTC,590933823
2024/06/04 17:46:42 UTC,178928534
2025/04/04 03:42:19 UTC,500311164
2024/06/04 17:47:26 UTC,178928534
2025/06/06 18:08:21 UTC,683640793
2025/01/22 05:23:09 UTC,573803123
2024/09/04 22:58:57 UTC,486988826
2025/11/12 20:24:30 UTC,930196336
2026/01/11 18:44:25 UTC,1101809313
2025/11/12 20:24:39 UTC,930196336
2026/01/11 18:37:45 UTC,1101809313
2025/11/12 20:24:29 UTC,930196336
2026/01/11 18:38:40 UTC,1101809313
2025/11/12 20:24:37 UTC,930196336
2024/09/04 22:20:07 UTC,433281254
2025/11/12 20:24:48 UTC,930196336
2025/06/12 20:04:31 UTC,689784376
2024/10/02 20:46:24 UTC,169553614
2025/06/12 20:04:33 UTC,689784376
2026/03/01 00:35:27 UTC,1138536224
2025/06/13 03:58:00 UTC,687736306
2026/02/28 15:04:02 UTC,1175910713
2025/06/13 03:58:05 UTC,687736306
2026/03/01 00:07:41 UTC,750667324
2025/06/13 03:58:11 UTC,687736306
2026/02/28 22:12:46 UTC,750667324
2025/03/03 03:32:23 UTC,551114993
2024/09/30 20:27:58 UTC,518999946
2024/10/29 21:02:03 UTC,511620843
2024/09/30 20:28:03 UTC,362136623
2024/08/21 17:20:20 UTC,491941116
2024/09/30 20:28:04 UTC,518999946
2024/08/21 17:20:21 UTC,166839006
2024/09/30 20:28:05 UTC,362136623
2024/10/21 15:44:26 UTC,531081056
2024/07/10 19:58:24 UTC,451342056
2024/10/21 15:44:27 UTC,524661346
2024/07/10 19:58:37 UTC,374046774
2025/08/05 21:04:59 UTC,822505726
2024/07/10 19:58:55 UTC,380113873
2025/08/05 21:04:59 UTC,822505726
2024/09/26 23:12:13 UTC,518999946
2024/08/01 21:54:31 UTC,486997896
2024/09/26 23:12:13 UTC,518999946
2024/12/03 17:53:06 UTC,564476646
2025/08/26 19:06:04 UTC,768055333
2025/10/02 20:40:02 UTC,873890046
2025/08/26 19:06:07 UTC,768055333
2025/10/02 20:40:03 UTC,873890046
2025/08/26 19:06:23 UTC,768055333
2025/10/02 20:59:46 UTC,873890046
2025/02/09 01:40:30 UTC,383045174
2026/03/04 23:01:52 UTC,1046880576
2025/02/09 01:40:33 UTC,383045174
2026/03/04 23:01:53 UTC,1046880576
2025/08/26 19:06:04 UTC,768055333
2026/03/04 16:54:05 UTC,1053806476
2025/08/26 19:06:05 UTC,768055333
2026/03/04 16:54:45 UTC,990449803
2025/08/26 19:06:05 UTC,768055333
2026/01/29 00:41:41 UTC,1054186506
2025/08/26 19:06:10 UTC,768055333
2025/12/01 15:57:16 UTC,841269923
2026/03/10 14:36:59 UTC,1173512483
2025/12/01 15:57:17 UTC,841269923
2026/03/10 14:56:31 UTC,1324292066
2026/03/23 20:23:08 UTC,145111864
2026/03/10 17:04:42 UTC,1080398034
2026/03/23 19:38:40 UTC,1359104906
2026/03/10 17:05:00 UTC,1080398034
2026/03/23 19:41:36 UTC,1234397774
2025/04/18 18:19:07 UTC,653126763
2026/03/23 15:07:24 UTC,1137297204
2025/04/18 18:19:07 UTC,653126763
2026/03/22 15:13:16 UTC,1233019794
